Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Forest area (% of land area),AG.LND.FRST.ZS,Afghanistan,AFG,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184
Forest area (% of land area),AG.LND.FRST.ZS,Albania,ALB,28.8024635036496,28.8021897810219,28.7920620437956,28.7919708029197,28.7919708029197
Forest area (% of land area),AG.LND.FRST.ZS,Algeria,DZA,0.821247986241997,0.821247986241997,0.815789794104397,0.810331601966797,0.814110350369751
Forest area (% of land area),AG.LND.FRST.ZS,American Samoa,ASM,86.4,86.25,86.1,85.95,85.8
Forest area (% of land area),AG.LND.FRST.ZS,Andorra,AND,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894
Forest area (% of land area),AG.LND.FRST.ZS,Angola,AGO,55.6530761209593,55.2078447100345,54.7626293414615,54.3174059517125,53.8721745407877
Forest area (% of land area),AG.LND.FRST.ZS,Antigua and Barbuda,ATG,19.2045454545455,19.0454545454545,18.9090909090909,18.75,18.5909090909091
Forest area (% of land area),AG.LND.FRST.ZS,Argentina,ARG,10.6321870580884,10.6003968297469,10.5598368832422,10.5203731515078,10.4801786099266
Forest area (% of land area),AG.LND.FRST.ZS,Armenia,ARM,11.5742887249737,11.5669125395153,11.5595363540569,11.5521601685985,11.5447839831401
Forest area (% of land area),AG.LND.FRST.ZS,Aruba,ABW,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333
Forest area (% of land area),AG.LND.FRST.ZS,Australia,AUS,17.3248245968004,17.4254877132405,17.4229136169693,17.4213145571644,17.4213145571644
Forest area (% of land area),AG.LND.FRST.ZS,Austria,AUT,47.0333252544838,47.0769510421716,47.1204556471159,47.1639602520601,47.2074648570044
Forest area (% of land area),AG.LND.FRST.ZS,Azerbaijan,AZE,13.0395340115892,13.1544115156647,13.2731460646972,13.4139303602971,13.5533670481767
"Forest area (% of land area),AG.LND.FRST.ZS,""Bahamas, The"",BHS,50.9350649350649,50.9350649350649,50.9350649350649,50.9350649350649,50.9350649350649"
Forest area (% of land area),AG.LND.FRST.ZS,Bahrain,BHR,0.77120822622108,0.79589216944801,0.82051282051282,0.848329048843188,0.871794871794872
Forest area (% of land area),AG.LND.FRST.ZS,Bangladesh,BGD,14.4687716063609,14.4687716063609,14.4687716063609,14.4687716063609,14.4687716063609
Forest area (% of land area),AG.LND.FRST.ZS,Barbados,BRB,14.6511627906977,14.6511627906977,14.6511627906977,14.6511627906977,14.6511627906977
Forest area (% of land area),AG.LND.FRST.ZS,Belarus,BLR,42.5341662643242,42.9069698701401,42.9784026641969,43.0515321706572,43.1261547557461
Forest area (% of land area),AG.LND.FRST.ZS,Belgium,BEL,22.7642007926024,22.7642007926024,22.7642007926024,22.7642007926024,22.7642007926024
Forest area (% of land area),AG.LND.FRST.ZS,Belize,BLZ,58.4318281455502,57.9430074528715,57.4537483559842,56.9649276633056,56.4756685664182
Forest area (% of land area),AG.LND.FRST.ZS,Benin,BEN,30.0208407236609,29.5774210713019,29.1340014189429,28.6905817665839,28.2471621142249
Forest area (% of land area),AG.LND.FRST.ZS,Bermuda,BMU,18.5185185185185,18.5185185185185,18.5185185185185,18.5185185185185,18.5185185185185
Forest area (% of land area),AG.LND.FRST.ZS,Bhutan,BTN,71.2327832725556,71.2342701342282,71.2861786912752,71.3455689564761,71.3974829575249
Forest area (% of land area),AG.LND.FRST.ZS,Bolivia,BOL,48.0266038955045,47.7713283485646,47.5327425459245,47.3121388350411,47.1095356780209
Forest area (% of land area),AG.LND.FRST.ZS,Bosnia and Herzegovina,BIH,42.197265625,42.5099609375,42.7326171875,42.7326171875,42.7326171875
Forest area (% of land area),AG.LND.FRST.ZS,Botswana,BWA,27.9607573271223,27.7520159511584,27.5432745751945,27.3345331992307,27.1257918232668
Forest area (% of land area),AG.LND.FRST.ZS,Brazil,BRA,60.2867145082518,60.0710325503043,59.8328814784151,59.7084279516735,59.5585261792696
Forest area (% of land area),AG.LND.FRST.ZS,British Virgin Islands,VGB,24.1333333333333,24.1333333333333,24.1333333333333,24.1333333333333,24.1333333333333
Forest area (% of land area),AG.LND.FRST.ZS,Brunei Darussalam,BRN,72.1062618595825,72.1062618595825,72.1062618595825,72.1062618595825,72.1062618595825
Forest area (% of land area),AG.LND.FRST.ZS,Bulgaria,BGR,35.3076639646279,35.3813559322034,35.5011053795136,35.6208548268239,35.7406042741341
Forest area (% of land area),AG.LND.FRST.ZS,Burkina Faso,BFA,23.6345029239766,23.4517543859649,23.2690058479532,23.0862573099415,22.9035087719298
Forest area (% of land area),AG.LND.FRST.ZS,Burundi,BDI,10.8894080996885,10.8894080996885,10.8894080996885,10.8894080996885,10.8894080996885
Forest area (% of land area),AG.LND.FRST.ZS,Cabo Verde,CPV,10.9727047146402,11.0471464019851,11.12158808933,11.1960297766749,11.2704714640199
Forest area (% of land area),AG.LND.FRST.ZS,Cambodia,KHM,50.117946974847,49.2359506004985,48.35395422615,47.4719578518015,46.589961477453
Forest area (% of land area),AG.LND.FRST.ZS,Cameroon,CMR,43.6218400287703,43.5033741617482,43.3849082947262,43.2664424277041,43.147976560682
Forest area (% of land area),AG.LND.FRST.ZS,Canada,CAN,38.7164380704449,38.7120133755838,38.7078876013737,38.7037629425392,38.6996371683291
Forest area (% of land area),AG.LND.FRST.ZS,Cayman Islands,CYM,53,53,53,53.375,53
Forest area (% of land area),AG.LND.FRST.ZS,Central African Republic,CAF,36.0412854345244,35.9931297954991,35.9449741564737,35.8968185174484,35.8486628784231
Forest area (% of land area),AG.LND.FRST.ZS,Chad,TCD,3.88341804320203,3.78732528589581,3.69361499364676,3.60149301143583,3.51175349428208
Forest area (% of land area),AG.LND.FRST.ZS,Channel Islands,CHI,5.15151515151515,5.15151515151515,5.15151515151515,5.15151515151515,5.15151515151515
Forest area (% of land area),AG.LND.FRST.ZS,Chile,CHL,23.6655315440358,23.8308640381315,23.9961965322273,24.161529026323,24.3268615204188
Forest area (% of land area),AG.LND.FRST.ZS,China,CHN,22.3998214356282,22.6304979330458,22.8307068120547,23.0309121760165,23.2311175399783
Forest area (% of land area),AG.LND.FRST.ZS,Colombia,COL,54.1997836863452,54.0419017575485,53.8438666065795,53.6642451554754,53.4846327174403
Forest area (% of land area),AG.LND.FRST.ZS,Comoros,COM,18.8662009672219,18.6297689414293,18.3933369156368,18.1622783449758,17.9258463191832
"Forest area (% of land area),AG.LND.FRST.ZS,""Congo, Dem. Rep."",COD,58.0764076663505,57.5905868860413,57.1047705167508,56.6189497364416,56.1331289561324"
"Forest area (% of land area),AG.LND.FRST.ZS,""Congo, Rep."",COG,64.4655929721816,64.4304538799414,64.3953147877013,64.3513909224012,64.307467057101"
Forest area (% of land area),AG.LND.FRST.ZS,Costa Rica,CRI,57.8345084214649,58.1551116333725,58.4757148452801,58.7961222091657,59.1167254210732
Forest area (% of land area),AG.LND.FRST.ZS,Cote d'Ivoire,CIV,10.6954402515723,10.3404402515723,9.98544025157233,9.63044025157233,9.27547169811321
Forest area (% of land area),AG.LND.FRST.ZS,Croatia,HRV,34.3435065399185,34.3813916088914,34.5151954828104,34.5598956472018,34.6045672217854
Forest area (% of land area),AG.LND.FRST.ZS,Cuba,CUB,30.5859750240154,31.1514801999231,31.233140655106,31.233140655106,31.233140655106
Forest area (% of land area),AG.LND.FRST.ZS,Curacao,CUW,0.157657657657658,0.157657657657658,0.157657657657658,0.157657657657658,0.157657657657658
Forest area (% of land area),AG.LND.FRST.ZS,Cyprus,CYP,18.6915584415584,18.6807359307359,18.6785714285714,18.6764069264069,18.6742424242424
Forest area (% of land area),AG.LND.FRST.ZS,Czechia,CZE,34.5601606009584,34.579070068644,34.6025126278979,34.6259551871519,34.6514173213048
Forest area (% of land area),AG.LND.FRST.ZS,Denmark,DNK,15.617,15.6165,15.64,15.664,15.6875
Forest area (% of land area),AG.LND.FRST.ZS,Djibouti,DJI,0.241587575496117,0.241587575496117,0.242018981880932,0.243313201035375,0.245901639344262
Forest area (% of land area),AG.LND.FRST.ZS,Dominica,DMA,63.8266666666667,63.8266666666667,63.8266666666667,63.8266666666667,63.8266666666667
Forest area (% of land area),AG.LND.FRST.ZS,Dominican Republic,DOM,43.5448147381494,43.7122748913268,43.8797350445042,44.0471951976816,44.9393027708232
Forest area (% of land area),AG.LND.FRST.ZS,Ecuador,ECU,51.6153164760831,51.3565388951522,51.0977613142213,50.8389837332904,50.5802061523595
"Forest area (% of land area),AG.LND.FRST.ZS,""Egypt, Arab Rep."",EGY,0.0486413179968858,0.0451855944547692,0.0451855944547692,0.0451855944547692,0.0451855944547692"
Forest area (% of land area),AG.LND.FRST.ZS,El Salvador,SLV,29.265444015444,29.0482625482625,28.8310810810811,28.6138996138996,28.3967181467181
Forest area (% of land area),AG.LND.FRST.ZS,Equatorial Guinea,GNQ,88.7778966131907,88.4798573975044,88.1818181818182,87.8837789661319,87.5857397504456
Forest area (% of land area),AG.LND.FRST.ZS,Eritrea,ERI,8.84524597758958,8.81997366660957,8.79432689018704,8.76775721087697,8.74145380877288
Forest area (% of land area),AG.LND.FRST.ZS,Estonia,EST,55.6938118242466,55.6993328732459,57.0385964912281,57.0385964912281,57.0385964912281
Forest area (% of land area),AG.LND.FRST.ZS,Eswatini,SWZ,28.5755813953488,28.646511627907,28.7168604651163,28.7872093023256,28.8575581395349
Forest area (% of land area),AG.LND.FRST.ZS,Ethiopia,ETH,15.4478441125305,15.3828976181154,15.3182905519655,15.2534895820899,15.1886785650104
Forest area (% of land area),AG.LND.FRST.ZS,Faroe Islands,FRO,0.0573065902578797,0.0573065902578797,0.0573065902578797,0.0573065902578797,0.0573065902578797
Forest area (% of land area),AG.LND.FRST.ZS,Fiji,FJI,60.5703338806787,60.935960591133,61.3015873015873,61.6672140120416,62.0328407224959
